Name,Quantity,Cost (USD),Seller,Link
2020 T slot 500mm,1,48.59,Temu,https://www.temu.com/au/v-slot-2020-extrusion-profile-european-standard-anodized-black-linear-rail-for-3d-printer-cnc-g-601101427050232.html?_oak_mp_inf=EPiNoqit1ogBGiA4Y2RiOTY5ZjRmZGQ0Yjg5YTJkY2NhMzU2ODE3YWNkMCCR5%2B%2BIyzM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F6e00a9eb-41ac-4035-ba05-4b7aa1f11724.jpg&spec_gallery_id=8905434329&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NDI4NQ&_oak_gallery_order=1858518428&search_key=v%20slot%202020%20profile%20with%20european&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1772497881102_kbsxpsvmkv&_x_sessn_id=3fba3il8vi
2020 T slot 500mm,1,21.91,Temu,https://www.temu.com/au/-slot-aluminum-extrusion-multiple-specifications-european-standard-extruded-aluminum-rail-black-aluminum-profile-for-cnc-diy-3d-printer-and-industrial-bracket-making-g-601103382061264.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F39d55fbd-def3-4c34-8261-a0031a633256.jpg&sku_id=17609522943887&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjY1Mw&_oak_gallery_order=1491050702%2C681486580%2C1137477876%2C1782674448%2C727096878&search_key=v%20slot%202020%20profile%20500mm&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1772497881102_kbsxpsvmkv&_x_sessn_id=3fba3il8vi
Linear rails,3,46.41,Temu,https://www.temu.com/au/400mm-450mm-mgn12hminiature-linear-slide--block-for-cnc-diy-g-601100859823183.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F59edceea-f1b9-45c2-855a-1d4d7e7ea0d9.jpg&sku_id=17597447316774&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjE4MA&_oak_gallery_order=726320763%2C1701735871&search_key=mgn12h&refer_page_el_sn=200049&_x_sessn_id=3fba3il8vi&refer_page_name=search_result&refer_page_id=10009_1772498166656_g79jqgz90s
PSU 600W 24v,1,25.09,Aliexpress,https://www.aliexpress.com/item/1005010376385581.html?spm=a2g0o.productlist.main.1.433b5330HyWyh6&algo_pvid=57a3053c-cd00-4e2c-959f-b1315a3339e8&algo_exp_id=57a3053c-cd00-4e2c-959f-b1315a3339e8-0&pdp_ext_f=%7B%22order%22%3A%222293%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010376385581%22%2C%22orig_item_id%22%3A%221005010130797577%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2156.77%218.96%21%21%21272.68%2143.06%21%402101e83017724982423757183ee297%2112000053303189861%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=JwgqBMkHSsyA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010376385581%7C_p_origin_prod%3A1005010130797577
A4988 Stepper drivers,6,4.41,Aliexpress,https://www.aliexpress.com/item/1005009016281152.html?spm=a2g0o.productlist.main.4.7aa424b0CMjCNx&aem_p4p_detail=202603071943091420482271141520001197995&algo_pvid=aba4d1bc-8a6a-4b9f-8358-3add19d72fe5&algo_exp_id=aba4d1bc-8a6a-4b9f-8358-3add19d72fe5-3&pdp_ext_f=%7B%22order%22%3A%22551%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%219.56%216.67%21%21%2145.74%2131.91%21%402101e83017729413897363157eb8c6%2112000049394621910%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=EQfDdEY5copl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009016281152%7C_p_origin_prod%3A&search_p4p_id=202603071943091420482271141520001197995_1
ACM Sheet,1,67.41,Plastix.com.au ,https://plastix.com.au/product/aluminium-composite-panels/
Nema 17 motors,6,44.7,Temu,https://www.temu.com/au/--17-stepper-stepping--control-2--8-degree-0-9a-0--42mm-with-90cm-lead-cable-3d-printer-cnc-accessory-replacement-g-601099643201655.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2F56790422%2F49dd4672-40db-4c07-865e-8c24f81d8be3%2F0a0f7260a37473e196cad8af47ae30f2.jpeg&sku_id=17592690406295&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTA5OQ&_oak_gallery_order=1318418388&search_query=nema%2017&search_key=nema%2017&refer_page_el_sn=200049&ab_scene=1&enable_vqr=0&_x_sessn_id=pd1yq8sl3k&refer_page_name=search_result&refer_page_id=10009_1772941496752_ee30qdzfuj
Hotend,1,18.61,Aliexpress,https://www.aliexpress.com/item/1005011544254510.html?spm=a2g0o.productlist.main.4.55401774XrFCf0&aem_p4p_detail=2026030216432812013635496823040000267715&algo_pvid=05a3ad54-5308-466c-b2d4-3573cd6fd4ac&algo_exp_id=05a3ad54-5308-466c-b2d4-3573cd6fd4ac-3&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.76%211.41%21%21%2113.25%216.77%21%40210325a917724986086146263ee615%2112000055877534883%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=BvUoaPAx7sAc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011544254510%7C_p_origin_prod%3A&search_p4p_id=2026030216432812013635496823040000267715_1#nav-description
GT2 belt kit,1,3.98,Aliexpress,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.24.2c737074QPpGFo&productIds=1005009939779429:12000050632270083&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009939779429%7C_p_origin_prod%3A&pvid=1bf87d12-f355-4c87-a2f1-15cdaf1019a4
GT2 idle pulleys,6,11.26,,https://www.aliexpress.com/item/32726309946.html?spm=a2g0o.productlist.main.2.2c737074QPpGFo&algo_pvid=b5c40090-34a2-4c47-82ef-035ce5f037f3&algo_exp_id=b5c40090-34a2-4c47-82ef-035ce5f037f3-1&pdp_ext_f=%7B%22order%22%3A%221459%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.90%212.53%21%21%214.09%211.76%21%4021030a6217729456571765371e5964%2110000010529679064%21sea%21AU%217347437705%21X%211%210%21n_tag%3A-29911%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197973911&curPageLogUid=s9gJ1nEqGah6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32726309946%7C_p_origin_prod%3A
